gene_id	gene_name	transcript_size
ENSG00000204478.9	PRAMEF20	1597
ENSG00000162494.5	LRRC38	2209
ENSG00000162493.16	PDPN	3104
ENSG00000116731.22	PRDM2	7957
ENSG00000189337.15	KAZN	6030
ENSG00000171729.13	TMEM51	1942
ENSG00000142621.19	FHAD1	5090
ENSG00000142634.12	EFHD2	2419
ENSG00000162438.11	CTRC	3147
ENSG00000142615.7	CELA2A	919
ENSG00000215704.9	CELA2B	923
ENSG00000132906.17	CASP9	4463
ENSG00000116138.12	DNAJC16	6299
ENSG00000116771.5	AGMAT	2500
ENSG00000197312.11	DDI2	10625
ENSG00000215695.1	RSC1A1	1854
ENSG00000116786.11	PLEKHM2	4122
ENSG00000162461.7	SLC25A34	2986
ENSG00000162460.6	TMEM82	1520
ENSG00000162458.12	FBLIM1	3695
ENSG00000233954.6	UQCRHL	2180
ENSG00000065526.10	SPEN	12232
ENSG00000116809.11	ZBTB17	2770
ENSG00000183888.4	C1orf64	3039
ENSG00000173641.17	HSPB7	2892
ENSG00000186510.11	CLCNKA	3060
ENSG00000184908.17	CLCNKB	2567
ENSG00000185519.8	FAM131C	1695
ENSG00000142627.12	EPHA2	3964
ENSG00000142632.16	ARHGEF19	3029
ENSG00000132881.11	RSG1	1545
ENSG00000037637.10	FBXO42	6202
ENSG00000055070.16	SZRD1	3636
ENSG00000187144.11	SPATA21	3619
ENSG00000157191.19	NECAP2	4619
ENSG00000268991.2	FAM231C	510
ENSG00000219481.10	NBPF1	5932
ENSG00000237847.2	FAM231A	510
ENSG00000279132.1	FAM231C	511
ENSG00000058453.16	CROCC	6656
ENSG00000117122.13	MFAP2	2371
ENSG00000159363.17	ATP13A2	3981
ENSG00000117118.9	SDHB	1153
ENSG00000117115.12	PADI2	4345
ENSG00000142623.9	PADI1	3846
ENSG00000142619.4	PADI3	3189
ENSG00000159339.13	PADI4	2267
ENSG00000280226.1	AC004824.2	189
ENSG00000276747.1	PADI6	2396
ENSG00000179051.13	RCC2	4087
ENSG00000074964.16	ARHGEF10L	4585
ENSG00000117148.7	ACTL8	1861
ENSG00000117154.11	IGSF21	1943
ENSG00000179023.8	KLHDC7A	5145
ENSG00000009709.11	PAX7	5538
ENSG00000179002.5	TAS1R2	2542
ENSG00000255275.3	RP13-279N23.2	4369
ENSG00000159423.16	ALDH4A1	3363
ENSG00000169991.10	IFFO2	6188
ENSG00000127481.14	UBR4	15906
ENSG00000127463.13	EMC1	6664
ENSG00000053372.4	MRTO4	2315
ENSG00000211454.13	AKR7L	1984
ENSG00000162482.4	AKR7A3	1710
ENSG00000053371.12	AKR7A2	1362
ENSG00000040487.12	PQLC2	2153
ENSG00000077549.17	CAPZB	2068
ENSG00000173436.13	MINOS1	3712
ENSG00000270136.5	MINOS1-NBL1	1623
ENSG00000158747.13	NBL1	2172
ENSG00000158748.3	HTR6	1984
ENSG00000162542.13	TMCO4	2974
ENSG00000178828.6	RNF186	1250
ENSG00000169914.5	OTUD3	6397
ENSG00000188784.4	PLA2G2E	785
ENSG00000188257.10	PLA2G2A	1306
ENSG00000127472.10	PLA2G5	1871
ENSG00000117215.14	PLA2G2D	2672
ENSG00000158786.4	PLA2G2F	4129
ENSG00000187980.6	PLA2G2C	3249
ENSG00000162543.5	UBXN10	5571
ENSG00000158816.15	VWA5B1	4475
ENSG00000162545.5	CAMK2N1	2336
ENSG00000090432.6	MUL1	2438
ENSG00000183114.7	FAM43B	2572
ENSG00000158825.5	CDA	963
ENSG00000158828.5	PINK1	3821
ENSG00000244038.9	DDOST	2126
ENSG00000117245.12	KIF17	3969
ENSG00000189410.11	SH2D5	3705
ENSG00000127483.17	HP1BP3	4822
ENSG00000075151.20	EIF4G3	6196
ENSG00000117298.14	ECE1	5099
ENSG00000142794.18	NBPF3	4401
ENSG00000162551.13	ALPL	2589
ENSG00000076864.19	RAP1GAP	4294
ENSG00000090686.15	USP48	4595
ENSG00000187942.11	LDLRAD2	4012
ENSG00000142798.17	HSPG2	14327
ENSG00000219073.7	CELA3B	996
ENSG00000142789.19	CELA3A	887
ENSG00000070831.15	CDC42	2274
ENSG00000162552.14	WNT4	3845
ENSG00000184677.16	ZBTB40	8992
ENSG00000070886.10	EPHA8	4943
ENSG00000173372.16	C1QA	1143
ENSG00000159189.11	C1QC	1183
ENSG00000173369.15	C1QB	1254
ENSG00000133216.16	EPHB2	10816
ENSG00000215906.8	LACTBL1	1641
ENSG00000227868.5	C1orf234	510
ENSG00000004487.15	KDM1A	3059
ENSG00000169641.13	LUZP1	8898
ENSG00000179546.4	HTR1D	2835
ENSG00000125944.18	HNRNPR	7646
ENSG00000125945.14	ZNF436	4071
ENSG00000204219.9	TCEA3	1559
ENSG00000088280.18	ASAP3	4050
ENSG00000007968.6	E2F2	5191
ENSG00000117318.8	ID3	1251
ENSG00000197880.8	MDS2	1781
ENSG00000142676.12	RPL11	994
ENSG00000011007.12	TCEB3	5154
ENSG00000057757.9	PITHD1	1603
ENSG00000011009.10	LYPLA2	1810
ENSG00000117308.14	GALE	2073
ENSG00000117305.14	HMGCL	2151
ENSG00000179163.11	FUCA1	2047
ENSG00000188822.7	CNR2	5254
ENSG00000189266.11	PNRC2	2416
ENSG00000188529.14	SRSF10	3957
ENSG00000142661.18	MYOM3	5804
ENSG00000142677.3	IL22RA1	2798
ENSG00000185436.11	IFNLR1	4549
ENSG00000158055.15	GRHL3	2869
ENSG00000001460.17	STPG1	6016
ENSG00000001461.16	NIPAL3	5481
ENSG00000117602.11	RCAN3	6802
ENSG00000184454.6	NCMAP	4063
ENSG00000133226.16	SRRM1	4011
ENSG00000169504.14	CLIC4	4346
ENSG00000020633.18	RUNX3	4340
ENSG00000117614.9	SYF2	1962
ENSG00000117616.17	RSRP1	3034
ENSG00000187010.18	RHD	3007
ENSG00000183726.10	TMEM50A	2683
ENSG00000188672.16	RHCE	1810
ENSG00000204178.9	TMEM57	3917
ENSG00000157978.11	LDLRAP1	4670
ENSG00000117643.14	MAN1C1	4647
ENSG00000162430.16	SEPN1	4334
ENSG00000255054.3	RP1-317E23.6	568
ENSG00000117640.17	MTFR1L	3262
ENSG00000127423.10	AUNIP	2116
ENSG00000182749.5	PAQR7	3297
ENSG00000117632.20	STMN1	2947
ENSG00000158006.13	PAFAH2	3581
ENSG00000158008.9	EXTL1	4015
ENSG00000158014.14	SLC30A2	3097
ENSG00000158022.6	TRIM63	1770
ENSG00000175087.9	PDIK1L	4279
ENSG00000197245.5	FAM110D	2858
ENSG00000282872.1	RP11-96L14.8	643
ENSG00000236782.6	RP11-96L14.7	1468
ENSG00000142684.7	ZNF593	1885
ENSG00000142675.17	CNKSR1	2673
ENSG00000188782.7	CATSPER4	1912
ENSG00000130695.13	CEP85	4061
ENSG00000142669.13	SH3BGRL3	1661
ENSG00000158062.20	UBXN11	2646
ENSG00000169442.8	CD52	581
ENSG00000176092.13	AIM1L	5245
ENSG00000176083.17	ZNF683	1712
ENSG00000131914.10	LIN28A	4008
ENSG00000117682.16	DHDDS	3338
ENSG00000198830.10	HMGN2	1496
ENSG00000117676.13	RPS6KA1	3202
ENSG00000117713.17	ARID1A	8577
ENSG00000060642.10	PIGV	2713
ENSG00000204160.11	ZDHHC18	5020
ENSG00000175793.11	SFN	1320
ENSG00000142751.14	GPN2	4678
ENSG00000198746.12	GPATCH3	2123
ENSG00000090273.13	NUDC	1800
ENSG00000131910.4	NR0B2	1156
ENSG00000175707.8	KDF1	1793
ENSG00000253368.3	TRNP1	1958
ENSG00000158246.7	FAM46B	2368
ENSG00000280403.1	AL137860.1	375
ENSG00000090020.10	SLC9A1	4516
ENSG00000142784.15	WDTC1	5149
ENSG00000186501.14	TMEM222	2861
ENSG00000142765.17	SYTL1	2681
ENSG00000142733.14	MAP3K6	4309
ENSG00000142748.12	FCN3	1030
ENSG00000174950.10	CD164L2	1457
ENSG00000181773.6	GPR3	2115
ENSG00000158195.10	WASF2	5676
ENSG00000126705.13	AHDC1	6438
ENSG00000000938.12	FGR	2729
ENSG00000126709.14	IFI6	841
ENSG00000009780.15	FAM76A	3567
ENSG00000117758.13	STX12	3079
ENSG00000117751.17	PPP1R8	2651
ENSG00000278868.1	AL109927.1	171
ENSG00000130775.15	THEMIS2	2861
ENSG00000117748.9	RPA2	1752
ENSG00000130768.14	SMPDL3B	1913
ENSG00000158156.7	XKR8	2692
ENSG00000158161.15	EYA3	6085
ENSG00000169403.11	PTAFR	4491
ENSG00000126698.10	DNAJC8	1759
ENSG00000130770.17	ATPIF1	1855
ENSG00000130766.4	SESN2	3453
ENSG00000130772.13	MED18	1833
ENSG00000204138.12	PHACTR4	6190
ENSG00000180198.15	RCC1	2844
ENSG00000180098.9	TRNAU1AP	2040
ENSG00000120656.11	TAF12	1359
ENSG00000188060.6	RAB42	1950
ENSG00000162419.12	GMEB1	6410
ENSG00000198492.14	YTHDF2	2925
ENSG00000116329.10	OPRD1	9345
ENSG00000159023.18	EPB41	5956
ENSG00000253304.1	TMEM200B	2553
ENSG00000116350.16	SRSF4	8128
ENSG00000116353.15	MECR	2416
ENSG00000060656.19	PTPRU	5579
ENSG00000162510.5	MATN1	3832
ENSG00000162511.7	LAPTM5	2223
ENSG00000162512.15	SDC3	6392
ENSG00000134644.15	PUM1	5375
ENSG00000084628.9	NKAIN1	2589
ENSG00000060688.12	SNRNP40	1928
ENSG00000121766.14	ZCCHC17	1730
ENSG00000121769.7	FABP3	725
ENSG00000168528.11	SERINC2	2807
ENSG00000142910.15	TINAGL1	4759
ENSG00000121764.11	HCRTR1	2003
ENSG00000162517.12	PEF1	1629
ENSG00000084636.17	COL16A1	5736
ENSG00000121753.12	ADGRB2	5414
ENSG00000134668.12	SPOCD1	3960
ENSG00000184007.17	PTP4A2	3929
ENSG00000121774.17	KHDRBS1	2757
ENSG00000121775.17	TMEM39B	2087
ENSG00000025800.13	KPNA6	7378
ENSG00000084652.15	TXLNA	5012
ENSG00000160050.14	CCDC28B	1415
ENSG00000160051.11	IQCC	2252
ENSG00000222046.2	DCDC2B	1863
ENSG00000160055.19	TMEM234	2736
ENSG00000084623.11	EIF3I	1458
ENSG00000183615.5	FAM167B	936
ENSG00000182866.16	LCK	2166
ENSG00000116478.11	HDAC1	2409
ENSG00000175130.6	MARCKSL1	1699
ENSG00000162526.6	TSSK3	1368
ENSG00000225828.1	FAM229A	2759
ENSG00000160058.18	BSDC1	4599
ENSG00000254553.1	RP1-27O5.3	3447
ENSG00000273274.1	ZBTB8B	12834
ENSG00000160062.14	ZBTB8A	7075
ENSG00000176261.15	ZBTB8OS	1601
ENSG00000162521.18	RBBP4	7943
ENSG00000162520.14	SYNC	3398
ENSG00000162522.10	KIAA1522	5438
ENSG00000134684.10	YARS	3238
ENSG00000116497.17	S100PBP	4322
ENSG00000160097.15	FNDC5	2732
ENSG00000121905.9	HPCA	1468
ENSG00000121900.18	TMEM54	999
ENSG00000116514.16	RNF19B	2598
ENSG00000004455.16	AK2	3586
ENSG00000142920.16	AZIN2	5848
ENSG00000116525.13	TRIM62	3437
ENSG00000160094.14	ZNF362	3106
ENSG00000184389.9	A3GALT2	1023
ENSG00000134686.16	PHC2	3870
ENSG00000121903.14	ZSCAN20	4316
ENSG00000121904.17	CSMD2	13698
ENSG00000176256.10	HMGB4	2505
ENSG00000142698.14	C1orf94	2287
ENSG00000163866.8	SMIM12	3454
ENSG00000189280.3	GJB5	1355
ENSG00000189433.5	GJB4	2840
ENSG00000188910.7	GJB3	2217
ENSG00000187513.8	GJA4	1622
ENSG00000116544.11	DLGAP3	3856
ENSG00000271741.1	RP11-244H3.4	3099
ENSG00000243749.1	ZMYM6NB	922
ENSG00000163867.16	ZMYM6	6241
ENSG00000197056.9	ZMYM1	4466
ENSG00000116560.10	SFPQ	3747
ENSG00000146463.11	ZMYM4	6994
ENSG00000142687.17	KIAA0319L	4789
ENSG00000020129.15	NCDN	3683
ENSG00000116819.6	TFAP2E	2189
ENSG00000126067.11	PSMB2	4217
ENSG00000142686.7	C1orf216	3218
ENSG00000092853.13	CLSPN	4769
ENSG00000134698.10	AGO4	7116
ENSG00000092847.11	AGO1	13708
ENSG00000126070.19	AGO3	19687
ENSG00000092850.11	TEKT2	1738
ENSG00000116863.10	ADPRHL2	1668
ENSG00000171812.11	COL8A2	4670
ENSG00000054116.11	TRAPPC3	2428
ENSG00000116871.15	MAP7D1	3456
ENSG00000054118.13	THRAP3	4432
ENSG00000214193.9	SH3D21	3182
ENSG00000142694.6	EVA1B	1054
ENSG00000196182.10	STK40	4837
ENSG00000181817.5	LSM10	1006
ENSG00000116885.18	OSCP1	1463
ENSG00000116898.11	MRPS15	2127
ENSG00000119535.17	CSF3R	6074
ENSG00000163873.9	GRIK3	9101
ENSG00000163874.8	ZC3H12A	2684
ENSG00000163875.15	MEAF6	2147
ENSG00000163877.9	SNIP1	4563
ENSG00000163879.10	DNALI1	3539
ENSG00000134697.12	GNL2	2409
ENSG00000169218.13	RSPO1	2621
ENSG00000116922.14	C1orf109	2622
ENSG00000134690.10	CDCA8	2469
ENSG00000183317.16	EPHA10	5425
ENSG00000185090.14	MANEAL	2685
ENSG00000196449.3	YRDC	1826
ENSG00000197982.13	C1orf122	2229
ENSG00000188786.9	MTF1	7972
ENSG00000204084.12	INPP5B	4694
ENSG00000183431.11	SF3A3	3673
ENSG00000183386.9	FHL3	1647
ENSG00000183520.11	UTP11L	2019
ENSG00000185668.6	POU3F1	2968
ENSG00000116954.7	RRAGC	2732
ENSG00000214114.8	MYCBP	2818
ENSG00000274944.4	RP5-864K19.6	3231
ENSG00000131233.9	GJA9	1901
ENSG00000158315.10	RHBDL2	2129
ENSG00000174574.15	AKIRIN1	2741
ENSG00000168653.10	NDUFS5	548
ENSG00000127603.23	MACF1	24828
ENSG00000183682.7	BMP8A	1692
ENSG00000090621.13	PABPC4	3592
ENSG00000163909.7	HEYL	3661
ENSG00000116981.3	NT5C1A	1107
ENSG00000116983.12	HPCAL4	4856
ENSG00000084072.16	PPIE	4651
ENSG00000116985.10	BMP8B	4822
ENSG00000198754.5	OXCT2	1826
ENSG00000043514.15	TRIT1	2112
ENSG00000116990.10	MYCL	3256
ENSG00000168389.17	MFSD2A	2432
ENSG00000131236.16	CAP1	3105
ENSG00000131238.16	PPT1	2742
ENSG00000117000.8	RLF	6246
ENSG00000188800.5	TMCO2	739
ENSG00000084073.8	ZMPSTE24	3108
ENSG00000049089.13	COL9A2	2887
ENSG00000084070.11	SMAP2	2939
ENSG00000187801.14	ZFP69B	2382
ENSG00000187815.9	ZFP69	2871
ENSG00000164002.11	EXO5	2567
ENSG00000117010.15	ZNF684	2097
ENSG00000117016.9	RIMS3	7235
ENSG00000066136.19	NFYC	2363
ENSG00000117013.14	KCNQ4	4099
ENSG00000179862.6	CITED4	1316
ENSG00000171793.13	CTPS1	3201
ENSG00000171790.15	SLFNL1	4310
ENSG00000010803.16	SCMH1	3323
ENSG00000204060.5	FOXO6	2398
ENSG00000127129.9	EDN2	1241
ENSG00000127124.13	HIVEP3	12319
ENSG00000044012.3	GUCA2B	597
ENSG00000197273.3	GUCA2A	569
ENSG00000198815.8	FOXJ3	5352
ENSG00000177181.14	RIMKLA	8909
ENSG00000066185.12	ZMYND12	1775
ENSG00000127125.8	PPCS	1617
ENSG00000186409.14	CCDC30	6827
ENSG00000171960.10	PPIH	752
ENSG00000065978.17	YBX1	1524
ENSG00000164007.10	CLDN19	3517
ENSG00000117385.15	P3H1	3001
ENSG00000164008.13	C1orf50	1011
ENSG00000177868.11	SVBP	708
ENSG00000164010.13	ERMAP	3949
ENSG00000164011.17	ZNF691	1935
ENSG00000117394.19	SLC2A1	3667
ENSG00000186973.10	FAM183A	530
ENSG00000117395.10	EBNA1BP2	1503
ENSG00000243710.7	CFAP57	4244
ENSG00000179178.10	TMEM125	1850
ENSG00000253313.5	C1orf210	1478
ENSG00000066056.13	TIE1	3882
ENSG00000117400.14	MPL	1950
ENSG00000117399.13	CDC20	1777
ENSG00000066322.12	ELOVL1	1625
ENSG00000159479.16	MED8	1924
ENSG00000198198.14	SZT2	12281
ENSG00000178922.16	HYI	2173
ENSG00000142949.16	PTPRF	7727
ENSG00000066135.12	KDM4A	4474
ENSG00000126091.19	ST3GAL3	2470
ENSG00000117407.16	ARTN	1943
ENSG00000117408.10	IPO13	3894
ENSG00000132768.13	DPH2	2472
ENSG00000117410.13	ATP6V0B	2432
ENSG00000117411.16	B4GALT2	2629
ENSG00000159214.12	CCDC24	2654
ENSG00000196517.11	SLC6A9	3130
ENSG00000171872.4	KLF17	3131
ENSG00000283039.1	KLF18	3159
ENSG00000178028.13	DMAP1	4552
ENSG00000117419.14	ERI3	1684
ENSG00000187147.17	RNF220	3835
ENSG00000126106.13	TMEM53	2310
ENSG00000198520.10	C1orf228	2113
ENSG00000142945.12	KIF2C	2955
ENSG00000142937.11	RPS8	1115
ENSG00000142959.4	BEST4	2047
ENSG00000173846.12	PLK3	2492
ENSG00000188396.3	TCTEX1D4	763
ENSG00000222009.8	BTBD19	2659
ENSG00000117425.13	PTCH2	4298
ENSG00000070785.16	EIF2B3	1923
ENSG00000126107.14	HECTD3	3610
ENSG00000126088.12	UROD	1848
ENSG00000162415.6	ZSWIM5	5819
ENSG00000186603.5	HPDL	1629
ENSG00000132781.17	MUTYH	1929
ENSG00000132773.11	TOE1	2389
ENSG00000070759.16	TESK2	3074
ENSG00000280670.2	CCDC163P	2229
ENSG00000132763.14	MMACHC	5296
ENSG00000117450.13	PRDX1	1234
ENSG00000117448.13	AKR1A1	1818
ENSG00000132780.16	NASP	3659
ENSG00000159588.14	CCDC17	2988
ENSG00000159592.10	GPBP1L1	3736
ENSG00000159596.6	TMEM69	2439
ENSG00000197429.10	IPP	3113
ENSG00000086015.20	MAST2	5738
ENSG00000117461.14	PIK3R3	5609
ENSG00000278139.1	PIK3R3	1553
ENSG00000117472.9	TSPAN1	1615
ENSG00000250719.1	RP11-322N21.2	395
ENSG00000085998.13	POMGNT1	3480
ENSG00000171357.5	LURAP1	1854
ENSG00000085999.11	RAD54L	3108
ENSG00000132128.16	LRRC41	4455
ENSG00000173660.11	UQCRH	687
ENSG00000117481.10	NSUN4	4344
ENSG00000117480.15	FAAH	2094
ENSG00000197587.10	DMBX1	2882
ENSG00000282881.1	RP11-49P4.7	1449
ENSG00000162456.9	KNCN	2320
ENSG00000079277.19	MKNK1	3408
ENSG00000142961.14	MOB3C	5725
ENSG00000123472.12	ATPAF1	4158
ENSG00000186118.8	TEX38	1003
ENSG00000159658.10	EFCAB14	5767
ENSG00000142973.12	CYP4B1	2171
ENSG00000187048.12	CYP4A11	2530
ENSG00000186377.7	CYP4X1	2357
ENSG00000186160.4	CYP4Z1	1906
ENSG00000162365.11	CYP4A22	2535
ENSG00000162366.7	PDZK1IP1	846
ENSG00000162367.11	TAL1	5001
ENSG00000123473.15	STIL	5225
ENSG00000162368.13	CMPK1	2930
ENSG00000186790.5	FOXE3	1981
ENSG00000186564.5	FOXD2	4675
ENSG00000269113.3	TRABD2B	7034
ENSG00000279096.1	AL356289.1	2640
ENSG00000117834.12	SLC5A9	3769
ENSG00000132122.11	SPATA6	4973
ENSG00000186094.16	AGBL4	3938
ENSG00000162373.12	BEND5	1716
ENSG00000162374.16	ELAVL4	3966
ENSG00000142700.11	DMRTA2	3137
ENSG00000185104.19	FAF1	6817
ENSG00000123080.10	CDKN2C	2904
ENSG00000204006.8	C1orf185	915
ENSG00000123091.4	RNF11	3084
ENSG00000085831.15	TTC39A	6287
ENSG00000085832.16	EPS15	5225
ENSG00000117859.18	OSBPL9	4520
ENSG00000078618.19	NRD1	3895
ENSG00000169213.6	RAB3B	12844
ENSG00000117862.11	TXNDC12	2396
ENSG00000198841.3	KTI12	1714
ENSG00000134717.17	BTF3L4	4703
ENSG00000157077.14	ZFYVE9	5194
ENSG00000154222.14	CC2D1B	5642
ENSG00000085840.12	ORC1	3157
ENSG00000134748.12	PRPF38A	5274
ENSG00000134744.13	ZCCHC11	5858
ENSG00000116157.5	GPX7	1228
ENSG00000182183.14	FAM159A	1992
